site_no,long,lat,begin_date,end_date,geometry,years_of_data,comid,reachcode,comid-long,comid-lat
01474000,-75.2068343,40.0152903,1965-10-01,2024-12-01,POINT (-75.2068343 40.0152903),59.167693360711844,4782187,02040203000002,-75.20654186267974,40.01524555527117
01467086,-75.1121191,40.04261157,1965-10-01,2024-12-01,POINT (-75.1121191 40.04261157),59.167693360711844,4489180,02040202000149,-75.1124652520078,40.04220956756816
01451800,-75.626854,40.66176219,1966-02-01,2024-12-01,POINT (-75.626854 40.66176219),58.83093771389459,4187713,02040106000119,-75.62670632596132,40.661953142175136
01477120,-75.2591667,39.74055556,1966-04-01,2024-12-01,POINT (-75.2591667 39.74055556),58.6694045174538,4495818,02040202000011,-75.25961676969303,39.740584034807355
01480675,-75.74159878,40.09787927,1966-08-01,2024-12-01,POINT (-75.74159878 40.09787927),58.33538672142368,4648686,02040205000702,-75.74148220580474,40.09806580563861
01443900,-75.0391667,40.98055556,1966-10-01,2024-12-02,POINT (-75.0391667 40.98055556),58.171115674195754,2587723,02040105000330,-75.04006015047885,40.98020785899151
01454700,-75.23628808,40.6692656,1966-10-01,2024-12-01,POINT (-75.23628808 40.6692656),58.168377823408626,4188251,02040106000001,-75.23716667833887,40.66969475989647
01449360,-75.5024077,40.8975919,1966-10-01,2024-12-01,POINT (-75.5024077 40.8975919),58.168377823408626,4187925,02040106000018,-75.5027535658028,40.8978113852797
01449800,-75.6457437,40.84564756,1967-08-01,2024-12-01,POINT (-75.6457437 40.84564756),57.33607118412046,4187341,02040106000016,-75.6459690280987,40.8451960322613
01467081,-75.0011111,39.94166667,1967-10-01,2024-12-02,POINT (-75.0011111 39.94166667),57.17180013689254,4495672,02040202001663,-75.00126872359397,39.94190352039503
01420000,-74.7972222,41.87277778,1924-10-01,1981-09-29,POINT (-74.7972222 41.87277778),56.993839835728956,1750601,02040102000025,-74.79768333488936,41.87277667607615
01472157,-75.601305,40.15149064,1968-10-01,2024-12-01,POINT (-75.601305 40.15149064),56.167008898015055,4782153,02040203000255,-75.60126323279547,40.15209560255256
01436500,-74.5976111,41.7566111,1937-10-21,1993-09-30,POINT (-74.5976111 41.7566111),55.94250513347023,4147458,02040104000136,-74.59755279659063,41.75636114275108
01480617,-75.8013341,39.9617734,1970-01-01,2024-12-01,POINT (-75.8013341 39.9617734),54.91581108829569,4650580,02040205000082,-75.80083010395427,39.96174365285881
01480870,-75.6732715,39.9687191,1972-02-01,2024-12-01,POINT (-75.6732715 39.9687191),52.832306639288156,4650548,02040205000049,-75.67315955418682,39.968251739727805
01463620,-74.6719444,40.2697222,1972-09-22,2024-12-01,POINT (-74.6719444 40.2697222),52.19164955509925,2590117,02040105000008,-74.67237952706752,40.269817129366444
01456000,-74.7969444,40.8883333,1921-10-01,1973-10-04,POINT (-74.7969444 40.8883333),52.0082135523614,2586799,02040105000069,-74.7972242679035,40.888274812371336
01480685,-75.71632459,40.05538195,1973-06-01,2024-12-01,POINT (-75.71632459 40.05538195),51.501711156741955,4648728,02040205005903,-75.71796198623245,40.05477145083783
01465000,-75.0326692,40.2551078,1884-07-01,1934-09-29,POINT (-75.0326692 40.2551078),50.24229979466119,4482843,02040201000106,-75.03199546860166,40.255555391394005
01470779,-76.1716128,40.4134258,1974-11-22,2024-12-01,POINT (-76.1716128 40.4134258),50.026009582477755,4783101,02040203000241,-76.17139538967656,40.413260539562316
01427510,-75.0574167,41.75675,1975-06-27,2024-12-01,POINT (-75.0574167 41.75675),49.43189596167009,2617456,02040101000033,-75.05616811485838,41.756594764861624
01448500,-75.5432431,41.0356434,1948-10-01,1996-09-30,POINT (-75.5432431 41.0356434),47.997262149212865,4186205,02040106000740,-75.5457496167202,41.03454886712903
01412800,-75.2555556,39.4725,1977-10-01,2024-12-01,POINT (-75.2555556 39.4725),47.167693360711844,9484462,02040206000148,-75.25580196601052,39.471766457758875
01437000,-74.6454722,41.49580556,1928-07-24,1973-09-29,POINT (-74.6454722 41.49580556),45.18275154004107,4151208,02040104000120,-74.64556884315789,41.4955267364744
01472198,-75.5154532,40.393898,1981-08-24,2024-12-01,POINT (-75.5154532 40.393898),43.27173169062286,4780723,02040203000088,-75.5150961959189,40.393665926261086
01475850,-75.4365864,39.97649897,1981-10-01,2024-12-01,POINT (-75.4365864 39.97649897),43.167693360711844,4494460,02040202000186,-75.43676630148575,39.97663670755708
01472199,-75.5224034,40.3739879,1981-10-01,2024-12-01,POINT (-75.5224034 40.3739879),43.167693360711844,4780787,02040203000542,-75.5218574155457,40.374217259605786
01448000,-75.76130379,41.04036256,1916-10-01,1959-09-29,POINT (-75.76130379 41.04036256),42.992470910335385,4186459,02040106000042,-75.76131206921889,41.0401213176533
01467087,-75.0968411,40.0159454,1982-07-01,2024-12-01,POINT (-75.0968411 40.0159454),42.42026009582478,4489096,02040202001907,-75.09661987267677,40.01594158104023
01473169,-75.46074808,40.07927367,1982-10-01,2024-12-01,POINT (-75.46074808 40.07927367),42.168377823408626,4781877,02040203000511,-75.46098352127902,40.07934168409972
01449000,-75.70518938,40.8292587,1982-10-01,2024-12-01,POINT (-75.70518938 40.8292587),42.168377823408626,4188159,02040106000028,-75.70500305694624,40.829003235261595
01434025,-74.5002222,41.9960833,1983-06-08,2024-12-01,POINT (-74.5002222 41.9960833),41.4839151266256,4147946,02040104001311,-74.50066014284786,41.99528969265056
01472620,-75.2343416,40.40399276,1983-10-01,2024-12-01,POINT (-75.2343416 40.40399276),41.16906228610541,4782009,02040203000064,-75.23470216111606,40.40371292048927
01464984,-75.0537809,40.2406635,1985-11-09,2024-12-01,POINT (-75.0537809 40.2406635),39.06091718001369,4483015,02040201000411,-75.05387138541747,40.240860152941856
01464645,-75.2065626,40.31232805,1985-11-16,2024-12-01,POINT (-75.2065626 40.31232805),39.04175222450377,4482695,02040201000131,-75.20687543453037,40.31265173369687
01449500,-75.55852038,40.92286835,1940-10-01,1979-09-29,POINT (-75.55852038 40.92286835),38.992470910335385,4187083,02040106000246,-75.55878837150574,40.92231551923878
01428750,-75.37601299,41.67452998,1986-10-01,2024-12-01,POINT (-75.37601299 41.67452998),38.168377823408626,2739748,02040103000045,-75.37600801678924,41.67421979853829
01451650,-75.4740717,40.59648637,1986-10-01,2024-12-01,POINT (-75.4740717 40.59648637),38.168377823408626,4187763,02040106000321,-75.47406288246485,40.59666492161588
01476480,-75.40323,39.9161255,1986-10-01,2024-12-01,POINT (-75.40323 39.9161255),38.168377823408626,4495704,02040202000194,-75.40293732178233,39.91590905216207
01464750,-75.0348915,40.26038549,1986-12-05,2024-12-01,POINT (-75.0348915 40.26038549),37.99041752224504,4482999,02040201000107,-75.03464640529675,40.260119373190506
01467036,-75.11211669,40.1809422,1978-10-01,2015-10-06,POINT (-75.11211669 40.1809422),37.01300479123888,4489158,02040202001403,-75.11218169167294,40.18071422820956
01479820,-75.6916008,39.81677739,1988-01-01,2024-12-01,POINT (-75.6916008 39.81677739),36.917180013689254,4651090,02040205000112,-75.6909587016884,39.81665536592958
01480015,-75.6399444,39.71575,1988-10-01,2024-12-01,POINT (-75.6399444 39.71575),36.167008898015055,4651930,02040205000107,-75.63973794687928,39.71534825625418
01483170,-75.6877222,39.4626111,1978-09-06,2014-06-30,POINT (-75.6877222 39.4626111),35.813826146475016,4653600,02040205000384,-75.68750408731816,39.462706132294265
01484270,-75.2671335,38.76150117,1971-05-01,2005-09-29,POINT (-75.2671335 38.76150117),34.41478439425051,8077692,02040207000452,-75.26629453909526,38.76179852556957
0143400680,-74.4480556,41.96694444,1990-10-01,2024-12-01,POINT (-74.4480556 41.96694444),34.168377823408626,4147950,02040104000147,-74.44829266402652,41.966596805032836
01425500,-75.39277778,42.1611111,1934-10-01,1968-09-29,POINT (-75.39277778 42.1611111),33.9958932238193,2613640,02040101000652,-75.39296054462935,42.16081140783793
01464720,-75.20378458,40.28816188,1990-12-19,2024-12-01,POINT (-75.20378458 40.28816188),33.95208761122519,4482733,02040201000129,-75.20479495510733,40.28761408327291
01434021,-74.4144444,42.0111111,1991-01-01,2024-12-01,POINT (-74.4144444 42.0111111),33.91649555099247,4146586,02040104000154,-74.4148052546876,42.01127779760736
01472810,-75.4287873,40.2587137,1991-01-18,2024-12-01,POINT (-75.4287873 40.2587137),33.869952087611225,4781261,02040203000050,-75.43029054725012,40.25821888048175
01422000,-74.9180556,42.2711111,1937-04-01,1970-09-29,POINT (-74.9180556 42.2711111),33.49486652977413,2612826,02040101000124,-74.91872529599632,42.27100127747909
01434017,-74.54027778,41.92527778,1991-07-01,2024-12-01,POINT (-74.54027778 41.92527778),33.42094455852156,4147394,02040104000143,-74.54022360828388,41.9249354294928
01434498,-74.57438889,41.92041667,1991-07-01,2024-12-01,POINT (-74.57438889 41.92041667),33.42094455852156,4147396,02040104000149,-74.57483693071529,41.92060435782933
01418500,-74.8669444,41.96305556,1937-10-01,1970-09-29,POINT (-74.8669444 41.96305556),32.993839835728956,1750385,02040102000043,-74.86747042585948,41.962775345960615
01426000,-75.4280556,42.0586111,1940-10-01,1973-09-29,POINT (-75.4280556 42.0586111),32.993839835728956,2613826,02040101000169,-75.42801870625331,42.05881847852672
01443280,-74.69527778,41.07638889,1992-08-06,2024-12-02,POINT (-74.69527778 41.07638889),32.323066392881586,2583309,02040105001814,-74.6954582659949,41.07681602488473
01436690,-74.61688889,41.63805556,1992-10-01,2024-12-01,POINT (-74.61688889 41.63805556),32.167008898015055,4147634,02040104000130,-74.61836844926484,41.63639019831543
01471875,-75.7421359,40.339538,1993-10-01,2024-12-01,POINT (-75.7421359 40.339538),31.16769336071184,4780921,02040203000113,-75.74235725312752,40.33930880787498
01478650,-75.74875,39.6892222,1994-03-01,2024-12-01,POINT (-75.74875 39.6892222),30.754277891854894,4651944,02040205000123,-75.74859282285824,39.68970191005713
01471980,-75.6799095,40.2728729,1974-08-01,2004-09-30,POINT (-75.6799095 40.2728729),30.16563997262149,4781199,02040203000106,-75.6802281664328,40.27300585965006
01450000,-75.6810222,40.8317588,1940-10-01,1970-11-12,POINT (-75.6810222 40.8317588),30.11362080766598,4187389,02040106000014,-75.68082136292381,40.83138872581673
01460000,-75.0662818,40.4237156,1884-01-01,1913-12-31,POINT (-75.0662818 40.4237156),29.9958932238193,2591241,02040105000220,-75.06571143763745,40.42287943650337
01480400,-75.8449449,40.0273261,1995-02-01,2024-12-01,POINT (-75.8449449 40.0273261),29.831622176591377,4648544,02040205000769,-75.84452173723008,40.02719719623617
01467470,-76.1635523,40.6945344,1949-02-14,1978-06-30,POINT (-76.1635523 40.6945344),29.371663244353183,4779457,02040203000950,-76.16393781184247,40.69433458765535
01472500,-75.4551769,40.27510179,1884-09-01,1913-12-31,POINT (-75.4551769 40.27510179),29.32785763175907,4781165,02040203000069,-75.45527592276453,40.27496280343875
01411456,-75.0675,39.65888889,1987-10-28,2016-09-30,POINT (-75.0675 39.65888889),28.92539356605065,9481686,02040206000081,-75.06814686031181,39.65611699406672
01473120,-75.433239,40.1645495,1966-05-01,1994-09-29,POINT (-75.433239 40.1645495),28.413415468856947,4782141,02040203000447,-75.43448369898,40.16404999751089
01478245,-75.7708333,39.7475,1996-08-01,2024-12-01,POINT (-75.7708333 39.7475),28.334017796030118,4651254,02040205000129,-75.77005413210969,39.74745318035521
01413408,-74.6233333,42.14666667,1996-12-05,2024-12-01,POINT (-74.6233333 42.14666667),27.98904859685147,1748719,02040102000084,-74.62288623852893,42.14716064070679
01478500,-75.7593801,39.71400027,1952-03-01,1980-01-16,POINT (-75.7593801 39.71400027),27.876796714579054,4651934,02040205000124,-75.75868983942874,39.71381832120501
01478137,-75.7791061,39.8217764,1997-07-10,2024-12-01,POINT (-75.7791061 39.8217764),27.394934976043807,4651042,02040205000604,-75.77963600053104,39.82160492548589
01413398,-74.60138889,42.1508333,1997-10-01,2024-12-01,POINT (-74.60138889 42.1508333),27.16769336071184,1748567,02040102000091,-74.60188552577982,42.150786338283936
01421618,-74.6622222,42.3611111,1997-10-01,2024-12-01,POINT (-74.6622222 42.3611111),27.16769336071184,2612794,02040101000280,-74.6623613419084,42.361268234125816
01441000,-75.2010138,40.9792609,1911-10-01,1938-09-29,POINT (-75.2010138 40.9792609),26.99520876112252,4154460,02040104000388,-75.20048299575106,40.97946054335536
01475550,-75.2474047,39.91733516,1964-01-01,1990-10-03,POINT (-75.2474047 39.91733516),26.754277891854894,4495680,02040202001354,-75.24738703631805,39.917056600537194
01475510,-75.2724064,39.92900154,1964-02-01,1990-09-29,POINT (-75.2724064 39.92900154),26.65845311430527,4495682,02040202000159,-75.27247659404814,39.92921625688319
01466900,-74.62777778,39.9561111,1998-05-11,2024-12-01,POINT (-74.62777778 39.9561111),26.559890485968516,4491946,02040202000266,-74.62922401827292,39.956680756958704
01422747,-75.1219167,42.17266667,1998-10-01,2024-12-01,POINT (-75.1219167 42.17266667),26.168377823408623,2613498,02040101000134,-75.12208825145757,42.17250040157093
01464907,-75.119616,40.22927456,1998-11-25,2024-12-01,POINT (-75.119616 40.22927456),26.017796030116358,4482885,02040201000417,-75.11870629530122,40.22872964549823
01467500,-76.1863318,40.68370115,1943-10-01,1969-09-29,POINT (-76.1863318 40.68370115),25.9958932238193,4779499,02040203000940,-76.18677698752091,40.68344150873
01415500,-74.90027778,42.13055556,1937-04-01,1962-09-29,POINT (-74.90027778 42.13055556),25.49486652977413,1748725,02040102000200,-74.90038693782958,42.1307431564529
01475300,-75.4218614,40.0226093,1972-04-28,1997-09-30,POINT (-75.4218614 40.0226093),25.423682409308693,4489072,02040202000170,-75.42078945091428,40.02278071068489
01466000,-74.5080556,39.91666667,1952-10-01,1977-06-19,POINT (-74.5080556 39.91666667),24.71457905544148,4492020,02040202000274,-74.50825382213581,39.917023875464345
01413088,-74.5591944,42.29380556,2000-06-07,2024-12-01,POINT (-74.5591944 42.29380556),24.484599589322382,1748535,02040102000097,-74.55911003619427,42.29358934174184
01421610,-74.66888889,42.37138889,2000-08-11,2024-12-01,POINT (-74.66888889 42.37138889),24.306639288158795,2612920,02040101000133,-74.669399498418,42.37125132120649
01483155,-75.7094722,39.4309722,2001-04-01,2024-12-01,POINT (-75.7094722 39.4309722),23.668720054757017,4653400,02040205000380,-75.70942790709182,39.431263982479635
01440485,-75.32210958,41.09388988,2001-04-18,2024-12-01,POINT (-75.32210958 41.09388988),23.62217659137577,4153154,02040104000718,-75.3218904652875,41.09392039112681
01470853,-76.1432785,40.34009236,1982-10-01,2005-09-29,POINT (-76.1432785 40.34009236),22.99520876112252,4783303,02040203000467,-76.14349363170585,40.34038155873093
01424500,-75.3200833,42.09530556,1940-10-01,1963-09-29,POINT (-75.3200833 42.09530556),22.99247091033539,2614122,02040101005437,-75.3214538855808,42.08879450253832
01470756,-75.8829816,40.5142605,1973-01-19,1995-09-29,POINT (-75.8829816 40.5142605),22.691307323750856,4779053,02040203000144,-75.88268077352191,40.51381361679274
01441495,-75.2551636,40.99083514,2002-06-21,2024-11-03,POINT (-75.2551636 40.99083514),22.3709787816564,4154458,02040104000561,-75.25444323268763,40.99113901064362
01432900,-74.7805556,41.66805556,2002-10-01,2024-12-01,POINT (-74.7805556 41.66805556),22.168377823408623,4147566,02040104000193,-74.78096196604258,41.66789877056058
01484300,-75.3271366,38.81427928,1956-10-01,1978-09-29,POINT (-75.3271366 38.81427928),21.99315537303217,8077194,02040207000237,-75.32692777520238,38.81404560202402
01480638,-75.6846599,39.9303864,2002-12-24,2024-09-30,POINT (-75.6846599 39.9303864),21.76865160848734,4650698,02040205000217,-75.68482773101329,39.93016568587357
01483000,-75.3605556,39.56555556,1952-10-01,1972-10-25,POINT (-75.3605556 39.56555556),20.06570841889117,9482230,02040206030024,-75.36030701961887,39.565012274268724
